district,state,baseline_score,baseline_rank
Vizianagaram,Andhra Pradesh,48.13,1
Rajnandgaon,Chhattisgarh,47.96,2
Osmanabad,Maharashtra,47.53,3
Cuddapah,Andhra Pradesh,47.43,4
Ramanathapuram,Tamil Nadu,46.78,5
Udham Singh Nagar,Uttarakhand,46.36,6
Mahasamund,Chhattisgarh,45.87,7
Virudhunagar,Tamil Nadu,45.57,8
Korba,Chhattisgarh,45.19,9
Khammam,Telangana,44.67,10
Washim,Maharashtra,44.18,11
Raichur,Karnataka,43.53,12
Visakhapatnam,Andhra Pradesh,42.66,13
Gadchiroli,Maharashtra,42.50,14
Rajgarh,Madhya Pradesh,42.18,15
Moga,Punjab,41.70,16
Dohad,Gujarat,41.61,17
Narmada,Gujarat,41.43,18
Damoh,Madhya Pradesh,41.12,19
Bhoopalpalli,Telangana,41.06,20
Hazaribagh,Jharkhand,40.46,21
Chamba,Himachal Pradesh,40.36,22
Kanker,Chhattisgarh,40.28,23
Haridwar,Uttarakhand,40.05,24
Dholpur,Rajasthan,39.78,25
Chhatarpur,Madhya Pradesh,39.63,26
Purbi Singhbhum,Jharkhand,39.45,27
Bokaro,Jharkhand,39.45,28
Ramgarh,Jharkhand,39.36,29
West Sikkim,Sikkim,39.31,30
Karauli,Rajasthan,39.30,31
Ranchi,Jharkhand,39.12,32
Baramula,Jammu & Kashmir,38.83,33
Firozpur,Punjab,38.75,34
Fatehpur,Uttar Pradesh,38.15,35
Baran,Rajasthan,37.88,36
Kupwara,Jammu & Kashmir,37.78,37
Bastar,Chhattisgarh,37.40,38
Nandurbar,Maharashtra,37.19,39
Yadgir,Karnataka,37.17,40
Khandwa,Madhya Pradesh,37.14,41
Vidisha,Madhya Pradesh,37.12,42
Begusarai,Bihar,37.04,43
Chandauli,Uttar Pradesh,36.70,44
Bijapur,Chhattisgarh,36.36,45
Muzaffarpur,Bihar,36.27,46
Guna,Madhya Pradesh,35.92,47
Mamit,Mizoram,35.76,48
Gumla,Jharkhand,35.62,49
Kondagaon,Chhattisgarh,35.54,50
Ribhoi,Meghalaya,35.42,51
Aurangabad,Bihar,35.37,52
Sirohi,Rajasthan,35.19,53
Gaya,Bihar,35.14,54
Dumka,Jharkhand,35.14,55
Dantewada,Chhattisgarh,35.00,56
Garhwa,Jharkhand,34.92,57
Sheikhpura,Bihar,34.78,58
Chatra,Jharkhand,34.72,59
Palamu,Jharkhand,34.67,60
Giridih,Jharkhand,34.57,61
Godda,Jharkhand,34.46,62
Nawada,Bihar,34.02,63
Latehar,Jharkhand,33.94,64
Lohardaga,Jharkhand,33.90,65
Baksa,Assam,33.87,66
Barwani,Madhya Pradesh,33.80,67
Dhubri,Assam,33.62,68
Khunti,Jharkhand,33.46,69
West Singbhum,Jharkhand,33.44,70
Narayanpur,Chhattisgarh,33.38,71
Jamui,Bihar,33.30,72
Barpeta,Assam,33.21,73
Simdega,Jharkhand,33.14,74
Chitrakoot,Uttar Pradesh,33.02,75
Hailakandi,Assam,32.86,76
Dhalai,Tripura,32.61,77
Sitamarhi,Bihar,32.43,78
Udalguri,Assam,32.28,79
Khagaria,Bihar,32.22,80
Jaisalmer,Rajasthan,32.15,81
Banka,Bihar,31.95,82
Sonebhadra,Uttar Pradesh,31.88,83
Goalpara,Assam,31.88,84
Purnia,Bihar,31.81,85
Pakur,Jharkhand,31.55,86
Darrang,Assam,31.26,87
Chandel,Manipur,30.99,88
Katihar,Bihar,30.76,89
Sahibganj,Jharkhand,30.57,90
Araria,Bihar,30.16,91
Sukma,Chhattisgarh,29.93,92
Namsai,Arunachal Pradesh,29.82,93
Balrampur,Uttar Pradesh,29.41,94
Siddharthnagar,Uttar Pradesh,29.26,95
Bahraich,Uttar Pradesh,29.01,96
Shrawasti,Uttar Pradesh,28.13,97
Kiphire,Nagaland,28.04,98
Singrauli,Madhya Pradesh,27.67,99
Asifabad,Telangana,26.64,100
Mewat,Haryana,26.02,101
