district,state,delta,delta_rank
Dahod,Gujarat,19.8,1
West Sikkim,Sikkim,18.9,2
Ramanathapuram,Tamil Nadu,17.7,3
Vizianagaram,Andhra Pradesh,17.5,4
Y.S.R.,Andhra Pradesh,14.9,5
Bijapur,Chhattisgarh,14.7,6
Washim,Maharashtra,13.8,7
Udham Singh Nagar,Uttarakhand,13.7,8
Korba,Chhattisgarh,13.6,9
Virudhunagar,Tamil Nadu,13.1,10
Khammam,Telangana,11.5,11
Raichur,Karnataka,11.3,12
Narmada,Gujarat,11.0,13
Visakhapatnam,Andhra Pradesh,11.0,14
Asifabad,Telangana,10.8,15
Moga,Punjab,10.7,16
Ramgarh,Jharkhand,10.3,17
Dantewada,Chhattisgarh,9.5,18
Dhaulpur,Rajasthan,9.2,19
Chitrakoot,Uttar Pradesh,9.1,20
Aurangabad,Bihar,9.0,21
Bhoopalapalli,Telangana,8.9,22
Purbi Singhbhum,Jharkhand,8.6,23
Damoh,Madhya Pradesh,8.5,24
Namsai,Arunachal Pradesh,8.3,25
Kiphire,Nagaland,8.3,26
Malkangiri,Odisha,8.1,27
Guna,Madhya Pradesh,8.0,28
Baran,Rajasthan,7.7,29
Chandel,Manipur,7.6,30
Khunti,Jharkhand,7.5,31
Firozpur,Punjab,7.4,32
Gajapati,Odisha,7.2,33
Pakur,Jharkhand,6.9,34
Kondagaon,Chhattisgarh,6.8,35
Udalguri,Assam,6.8,36
Rajnandgaon,Chhattisgarh,6.8,37
Dhalai,Tripura,6.7,38
Yadgir,Karnataka,6.6,39
Kalahandi,Odisha,6.5,40
Sonebhadra,Uttar Pradesh,6.5,41
Chamba,Himachal Pradesh,6.5,42
Gaya,Bihar,6.4,43
Mewat,Haryana,6.4,44
Mahasamund,Chhattisgarh,6.3,45
Khandwa,Madhya Pradesh,6.1,46
Sirohi,Rajasthan,6.0,47
Jaisalmer,Rajasthan,6.0,48
Barpeta,Assam,5.9,49
Sitamarhi,Bihar,5.9,50
Baksa,Assam,5.9,51
Osmanabad,Maharashtra,5.7,52
Nandurbar,Maharashtra,5.7,53
Chhatarpur,Madhya Pradesh,5.7,54
Baramula,Jammu & Kashmir,5.6,55
Chatra,Jharkhand,5.5,56
Lohardaga,Jharkhand,5.5,57
Pashchimi Singhbhum,Jharkhand,5.4,58
Gumla,Jharkhand,5.3,59
Araria,Bihar,5.2,60
Narayanpur,Chhattisgarh,5.2,61
Singrauli,Madhya Pradesh,5.2,62
Chandauli,Uttar Pradesh,5.2,63
Hazaribagh,Jharkhand,5.2,64
Sahibganj,Jharkhand,5.1,65
Dhenkanal,Odisha,5.0,66
Haridwar,Uttarakhand,5.0,67
Bastar,Chhattisgarh,4.8,68
Goalpara,Assam,4.8,69
Hailakandi,Assam,4.5,70
Garhwa,Jharkhand,4.4,71
Gadchiroli,Maharashtra,4.4,72
Darrang,Assam,4.3,73
Shrawasti,Uttar Pradesh,4.2,74
Vidisha,Madhya Pradesh,4.1,75
Ribhoi,Meghalaya,4.1,76
Kanker,Chhattisgarh,4.0,77
Dumka,Jharkhand,4.0,78
Mamit,Mizoram,3.8,79
Bahraich,Uttar Pradesh,3.8,80
Latehar,Jharkhand,3.7,81
Fatehpur,Uttar Pradesh,3.5,82
Barwani,Madhya Pradesh,3.2,83
Rajgarh,Madhya Pradesh,3.2,84
Karauli,Rajasthan,3.2,85
Palamu,Jharkhand,3.1,86
Muzaffarpur,Bihar,2.9,87
Dhubri,Assam,2.9,88
Purnia,Bihar,2.9,89
Kandhamal,Odisha,2.8,90
Sheikhpura,Bihar,2.8,91
Godda,Jharkhand,2.7,92
Bokaro,Jharkhand,2.6,93
Rayagada,Odisha,2.6,94
Katihar,Bihar,2.5,95
Nawada,Bihar,2.3,96
Giridih,Jharkhand,2.3,97
Nabarangapur,Odisha,2.0,98
Jamui,Bihar,2.0,99
Sukma,Chhattisgarh,1.9,100
Siddharthnagar,Uttar Pradesh,1.9,101
Balrampur,Uttar Pradesh,1.5,102
Banka,Bihar,1.4,103
Khagaria,Bihar,1.4,104
Simdega,Jharkhand,1.2,105
Ranchi,Jharkhand,1.2,106
Begusarai,Bihar,0.8,107
Kupwara,Jammu & Kashmir,0.5,108
